ts,status,device,command,priority,reason,queue_latency_ms,cmd_drop_rate,cmd_delay_ms,queue_size_after_dispatch
2026-05-09T02:37:33.236567+00:00,dispatched,light,on,2,door-open-dark,543.11,0.0,0,0
2026-05-09T02:40:24.858679+00:00,dispatched,alarm,on,1,night-door-anomaly,667.87,0.0,0,1
2026-05-09T02:40:25.665096+00:00,dispatched,light,on,2,door-open-dark,1525.24,0.0,0,0
2026-05-09T02:40:30.493603+00:00,dispatched,alarm,off,2,occupancy-confirmed,591.23,0.0,0,0
2026-05-09T02:42:16.113584+00:00,dispatched,light,off,3,ambient-bright,649.53,0.0,0,0
2026-05-09T02:44:05.981678+00:00,dispatched,alarm,on,1,night-door-anomaly,334.65,0.0,0,1
2026-05-09T02:44:06.794279+00:00,dispatched,light,on,2,door-open-dark,1147.38,0.0,0,0
2026-05-09T02:44:09.220998+00:00,dispatched,alarm,off,2,occupancy-confirmed,552.88,0.0,0,0
2026-05-09T02:45:04.742913+00:00,dispatched,light,off,3,ambient-bright,358.33,0.0,0,0
2026-05-09T02:47:02.110929+00:00,dispatched,alarm,on,1,night-door-anomaly,288.93,0.0,0,1
2026-05-09T02:47:02.917504+00:00,dispatched,light,on,2,door-open-dark,1095.36,0.0,0,0
2026-05-09T02:47:05.329525+00:00,dispatched,alarm,off,2,occupancy-confirmed,495.58,0.0,0,0
2026-05-09T02:48:16.089964+00:00,dispatched,light,off,3,ambient-bright,501.4,0.0,0,0
2026-05-09T02:49:58.204516+00:00,dispatched,alarm,on,1,night-door-anomaly,273.92,0.0,0,1
2026-05-09T02:49:59.012440+00:00,dispatched,light,on,2,door-open-dark,1083.38,0.0,0,0
2026-05-09T02:50:03.030583+00:00,dispatched,alarm,off,2,occupancy-confirmed,582.53,0.0,0,0
2026-05-09T02:51:04.972368+00:00,dispatched,light,off,3,ambient-bright,766.5,0.0,0,0
2026-05-09T02:52:26.196283+00:00,dispatched,light,on,2,door-open-dark,709.56,0.0,0,0
2026-05-09T02:54:15.515476+00:00,dispatched,light,off,3,ambient-bright,209.3,0.0,0,0
2026-05-09T02:55:23.874659+00:00,dispatched,ac,off,2,no-motion-timeout,0.61,0.0,0,0
2026-05-09T02:55:31.110999+00:00,dispatched,light,on,2,door-open-dark,540.35,0.0,0,0
2026-05-09T02:57:04.424635+00:00,dispatched,light,off,3,ambient-bright,461.06,0.0,0,0
2026-05-09T02:58:22.394749+00:00,dispatched,ac,on,3,hot-with-motion,185.78,0.0,0,0
2026-05-09T02:58:51.367292+00:00,dispatched,alarm,on,1,night-door-anomaly,497.78,0.0,0,1
2026-05-09T02:58:52.169667+00:00,dispatched,light,on,2,door-open-dark,1344.19,0.0,0,0
2026-05-09T02:58:55.388400+00:00,dispatched,alarm,off,2,occupancy-confirmed,48.08,0.0,0,0
2026-05-09T02:59:23.525597+00:00,dispatched,ac,off,2,no-motion-timeout,0.14,0.0,0,0
2026-05-09T02:59:29.952601+00:00,dispatched,ac,off,2,no-motion-timeout,0.39,0.0,0,0
2026-05-09T02:59:36.381399+00:00,dispatched,ac,off,2,no-motion-timeout,0.42,0.0,0,0
2026-05-09T02:59:42.816381+00:00,dispatched,ac,off,2,no-motion-timeout,0.71,0.0,0,0
2026-05-09T02:59:49.245903+00:00,dispatched,ac,off,2,no-motion-timeout,0.47,0.0,0,0
2026-05-09T02:59:55.682440+00:00,dispatched,ac,off,2,no-motion-timeout,0.4,0.0,0,0
2026-05-09T03:00:02.111875+00:00,dispatched,ac,off,2,no-motion-timeout,0.4,0.0,0,0
2026-05-09T03:00:08.549481+00:00,dispatched,ac,off,2,no-motion-timeout,0.52,0.0,0,0
