run_id,experiment,mode,latency_ms,drop_rate,offline_rate,scenario_id,start_at,end_at
1,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
1,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
1,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
1,latency_response,fault_tolerant,0,0.05,0.02,alarm_04,144.0,149.0
1,latency_response,fault_tolerant,0,0.05,0.02,alarm_05,186.0,191.0
1,latency_response,fault_tolerant,0,0.05,0.02,alarm_06,228.0,233.0
2,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
2,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
2,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
2,latency_response,fault_tolerant,0,0.05,0.02,alarm_04,144.0,149.0
2,latency_response,fault_tolerant,0,0.05,0.02,alarm_05,186.0,191.0
2,latency_response,fault_tolerant,0,0.05,0.02,alarm_06,228.0,233.0
3,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
3,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
3,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
3,latency_response,fault_tolerant,0,0.05,0.02,alarm_04,144.0,149.0
3,latency_response,fault_tolerant,0,0.05,0.02,alarm_05,186.0,191.0
3,latency_response,fault_tolerant,0,0.05,0.02,alarm_06,228.0,233.0
4,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
4,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
4,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
4,latency_response,fault_tolerant,0,0.05,0.02,alarm_04,144.0,149.0
4,latency_response,fault_tolerant,0,0.05,0.02,alarm_05,186.0,191.0
4,latency_response,fault_tolerant,0,0.05,0.02,alarm_06,228.0,233.0
5,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
5,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
5,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
5,latency_response,fault_tolerant,0,0.05,0.02,alarm_04,144.0,149.0
5,latency_response,fault_tolerant,0,0.05,0.02,alarm_05,186.0,191.0
5,latency_response,fault_tolerant,0,0.05,0.02,alarm_06,228.0,233.0
6,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
6,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
6,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
6,latency_response,fault_tolerant,0,0.05,0.02,alarm_04,144.0,149.0
6,latency_response,fault_tolerant,0,0.05,0.02,alarm_05,186.0,191.0
6,latency_response,fault_tolerant,0,0.05,0.02,alarm_06,228.0,233.0
7,latency_response,fault_tolerant,0,0.05,0.02,alarm_01,18.0,23.0
7,latency_response,fault_tolerant,0,0.05,0.02,alarm_02,60.0,65.0
7,latency_response,fault_tolerant,0,0.05,0.02,alarm_03,102.0,107.0
