experiment,mode,mode_label,latency_ms,drop_rate,offline_rate,total_tasks,successful_tasks,success_rate,avg_response_ms,median_response_ms,avg_queue_wait_ms,p95_queue_wait_ms,alarm_opportunities,alarm_success,alarm_completion_rate,alarm_miss_rate,alarm_avg_queue_wait_ms,alarm_avg_response_ms,avg_attempts,stale_skips
ablation,fault_tolerant,容错 Agent,350,0.2,0.1,279,268,0.9606,2645.69,1474.68,951.38,1880.01,60,55,0.9167,0.0833,809.55,2482.13,1.49,277
ablation,fifo_rule,普通规则,350,0.2,0.1,358,238,0.6648,1175.47,1213.19,749.84,1794.51,60,43,0.7167,0.2833,1074.85,1501.45,1,0
ablation,priority,优先级调度,350,0.2,0.1,373,232,0.622,1119.68,1142.62,711.8,1883.12,60,42,0.7,0.3,589.79,967.68,1,0
ablation,priority_retry,优先级+重试,350,0.2,0.1,280,262,0.9357,2502.94,1432.01,928.63,1883.31,60,52,0.8667,0.1333,798.92,2573.01,1.49,0
ablation,priority_stale,优先级+过期,350,0.2,0.1,392,248,0.6327,1128.81,1144.71,700.76,1861.91,60,52,0.8667,0.1333,673.71,1087.74,1,239
alarm_reliability,fault_tolerant,容错 Agent,350,0.2,0.1,270,264,0.9778,2569.97,1411.05,942.53,1881.21,60,50,0.8333,0.1667,803.41,2789.84,1.43,181
alarm_reliability,fifo_rule,普通规则,350,0.2,0.1,355,236,0.6648,1125.55,1174.09,735.07,1844.08,60,49,0.8167,0.1833,1130.92,1550.27,1,0
alarm_reliability,priority,优先级调度,350,0.2,0.1,386,244,0.6321,1108.08,1161.62,681.75,1812.19,60,45,0.75,0.25,615.96,1048.75,1,0
drop_success,fault_tolerant,容错 Agent,200,0.0,0.02,224,224,1.0,1390.49,1162.12,1086.04,1934.91,48,43,0.8958,0.1042,855.58,1159.7,1.02,0
drop_success,fault_tolerant,容错 Agent,200,0.05,0.02,220,220,1.0,1695.65,1189.34,1044.92,1888.25,48,43,0.8958,0.1042,861.58,1636.76,1.14,4
drop_success,fault_tolerant,容错 Agent,200,0.1,0.02,222,222,1.0,1941.95,1218.81,1060.77,1931.03,48,44,0.9167,0.0833,860.47,1839.75,1.21,7
drop_success,fault_tolerant,容错 Agent,200,0.2,0.02,220,214,0.9727,2347.95,1257.65,1057.97,1929.05,48,39,0.8125,0.1875,866.93,2281.88,1.38,166
drop_success,fault_tolerant,容错 Agent,200,0.3,0.02,231,208,0.9004,2452.3,1297.97,1006.11,1905.24,48,40,0.8333,0.1667,831.22,2201.24,1.55,438
drop_success,fault_tolerant,容错 Agent,200,0.4,0.02,213,188,0.8826,2931.06,2117.93,1000.45,1925.45,48,36,0.75,0.25,878.33,2533.85,1.72,1189
latency_response,fault_tolerant,容错 Agent,0,0.05,0.02,242,242,1.0,434.3,50.0,210.74,1000.0,48,48,1.0,0.0,0.0,85.09,1.09,3
latency_response,fault_tolerant,容错 Agent,100,0.05,0.02,218,218,1.0,1553.15,1113.63,1096.72,1941.75,48,43,0.8958,0.1042,899.43,1233.36,1.1,6
latency_response,fault_tolerant,容错 Agent,200,0.05,0.02,222,222,1.0,1614.37,1192.62,1058.51,1900.24,48,42,0.875,0.125,870.8,1301.16,1.1,0
latency_response,fault_tolerant,容错 Agent,500,0.05,0.02,226,226,1.0,1675.73,1367.51,906.31,1863.14,48,43,0.8958,0.1042,672.45,1466.83,1.08,3
latency_response,fault_tolerant,容错 Agent,800,0.05,0.02,232,232,1.0,2049.09,1665.03,753.57,1682.07,48,44,0.9167,0.0833,534.78,1905.83,1.1,3
mode_comparison,fault_tolerant,容错 Agent,300,0.15,0.08,282,272,0.9645,2161.15,1321.15,976.76,1869.61,60,51,0.85,0.15,826.9,2065.86,1.34,73
mode_comparison,fifo_rule,普通规则,300,0.15,0.08,333,248,0.7447,1173.14,1194.17,825.92,1894.35,60,50,0.8333,0.1667,1148.55,1483.69,1,0
mode_comparison,priority,优先级调度,300,0.15,0.08,356,260,0.7303,1176.19,1176.09,803.83,1896.34,60,50,0.8333,0.1667,643.81,1003.89,1,0
