2026-05-09 10:39:06,088 | INFO | agent  | Edge agent started (cmd_drop=0.00, cmd_delay_ms=0).
2026-05-09 10:39:06,090 | INFO | agent  | Connected to MQTT broker.
2026-05-09 10:39:06,091 | INFO | agent  | Device state sync: alarm=off
2026-05-09 10:39:07,119 | INFO | agent  | Sensor update: temperature=24.65
2026-05-09 10:39:07,119 | INFO | agent  | Sensor update: humidity=46.7
2026-05-09 10:39:07,119 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:07,119 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:07,120 | INFO | agent  | Sensor update: light=124.4
2026-05-09 10:39:08,625 | INFO | agent  | Sensor update: temperature=24.49
2026-05-09 10:39:08,626 | INFO | agent  | Sensor update: humidity=46.4
2026-05-09 10:39:08,626 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:08,626 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:08,626 | INFO | agent  | Sensor update: light=159.9
2026-05-09 10:39:10,132 | INFO | agent  | Sensor update: temperature=24.27
2026-05-09 10:39:10,133 | INFO | agent  | Sensor update: humidity=45.8
2026-05-09 10:39:10,133 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:10,133 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:10,133 | INFO | agent  | Sensor update: light=172.2
2026-05-09 10:39:11,638 | INFO | agent  | Sensor update: temperature=24.06
2026-05-09 10:39:11,639 | INFO | agent  | Sensor update: humidity=45.8
2026-05-09 10:39:11,639 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:11,639 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:11,639 | INFO | agent  | Sensor update: light=204.7
2026-05-09 10:39:13,145 | INFO | agent  | Sensor update: temperature=24.14
2026-05-09 10:39:13,145 | INFO | agent  | Sensor update: humidity=45.0
2026-05-09 10:39:13,145 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:13,146 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:13,146 | INFO | agent  | Sensor update: light=236.8
2026-05-09 10:39:14,647 | INFO | agent  | Sensor update: temperature=23.79
2026-05-09 10:39:14,647 | INFO | agent  | Sensor update: humidity=44.7
2026-05-09 10:39:14,647 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:14,648 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:14,648 | INFO | agent  | Sensor update: light=253.3
2026-05-09 10:39:16,152 | INFO | agent  | Sensor update: temperature=23.48
2026-05-09 10:39:16,153 | INFO | agent  | Sensor update: humidity=43.7
2026-05-09 10:39:16,153 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:16,153 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:16,153 | INFO | agent  | Sensor update: light=272.8
2026-05-09 10:39:17,659 | INFO | agent  | Sensor update: temperature=23.58
2026-05-09 10:39:17,660 | INFO | agent  | Sensor update: humidity=42.9
2026-05-09 10:39:17,660 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:17,660 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:17,660 | INFO | agent  | Sensor update: light=293.3
2026-05-09 10:39:19,167 | INFO | agent  | Sensor update: temperature=23.53
2026-05-09 10:39:19,167 | INFO | agent  | Sensor update: humidity=42.3
2026-05-09 10:39:19,167 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:19,167 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:19,167 | INFO | agent  | Sensor update: light=323.8
2026-05-09 10:39:20,673 | INFO | agent  | Sensor update: temperature=23.22
2026-05-09 10:39:20,674 | INFO | agent  | Sensor update: humidity=41.6
2026-05-09 10:39:20,674 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:20,674 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:20,674 | INFO | agent  | Sensor update: light=349.5
2026-05-09 10:39:22,179 | INFO | agent  | Sensor update: temperature=23.26
2026-05-09 10:39:22,179 | INFO | agent  | Sensor update: humidity=41.3
2026-05-09 10:39:22,179 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:22,179 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:22,180 | INFO | agent  | Sensor update: light=364.0
2026-05-09 10:39:23,686 | INFO | agent  | Sensor update: temperature=23.31
2026-05-09 10:39:23,687 | INFO | agent  | Sensor update: humidity=41.5
2026-05-09 10:39:23,688 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:23,688 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:23,688 | INFO | agent  | Sensor update: light=382.9
2026-05-09 10:39:25,189 | INFO | agent  | Sensor update: temperature=23.27
2026-05-09 10:39:25,190 | INFO | agent  | Sensor update: humidity=41.8
2026-05-09 10:39:25,190 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:25,190 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:25,190 | INFO | agent  | Sensor update: light=403.2
2026-05-09 10:39:26,696 | INFO | agent  | Sensor update: temperature=23.39
2026-05-09 10:39:26,696 | INFO | agent  | Sensor update: humidity=41.5
2026-05-09 10:39:26,696 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:26,696 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:26,696 | INFO | agent  | Sensor update: light=418.8
2026-05-09 10:39:28,203 | INFO | agent  | Sensor update: temperature=23.31
2026-05-09 10:39:28,203 | INFO | agent  | Sensor update: humidity=41.4
2026-05-09 10:39:28,203 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:28,203 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:28,204 | INFO | agent  | Sensor update: light=432.1
2026-05-09 10:39:29,709 | INFO | agent  | Sensor update: temperature=23.26
2026-05-09 10:39:29,709 | INFO | agent  | Sensor update: humidity=41.3
2026-05-09 10:39:29,709 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:29,709 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:29,709 | INFO | agent  | Sensor update: light=446.5
2026-05-09 10:39:31,214 | INFO | agent  | Sensor update: temperature=23.03
2026-05-09 10:39:31,215 | INFO | agent  | Sensor update: humidity=40.9
2026-05-09 10:39:31,215 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:31,215 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:31,215 | INFO | agent  | Sensor update: light=455.4
2026-05-09 10:39:32,716 | INFO | agent  | Sensor update: temperature=22.96
2026-05-09 10:39:32,716 | INFO | agent  | Sensor update: humidity=40.7
2026-05-09 10:39:32,716 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:32,716 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:32,716 | INFO | agent  | Sensor update: light=474.0
2026-05-09 10:39:34,223 | INFO | agent  | Sensor update: temperature=23.13
2026-05-09 10:39:34,223 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:39:34,223 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:34,224 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:34,224 | INFO | agent  | Sensor update: light=485.8
2026-05-09 10:39:35,727 | INFO | agent  | Sensor update: temperature=23.11
2026-05-09 10:39:35,727 | INFO | agent  | Sensor update: humidity=40.3
2026-05-09 10:39:35,728 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:35,728 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:35,728 | INFO | agent  | Sensor update: light=499.0
2026-05-09 10:39:37,232 | INFO | agent  | Sensor update: temperature=22.89
2026-05-09 10:39:37,232 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:39:37,232 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:37,232 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:37,233 | INFO | agent  | Sensor update: light=495.5
2026-05-09 10:39:38,738 | INFO | agent  | Sensor update: temperature=22.88
2026-05-09 10:39:38,738 | INFO | agent  | Sensor update: humidity=39.5
2026-05-09 10:39:38,738 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:38,738 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:38,738 | INFO | agent  | Sensor update: light=503.9
2026-05-09 10:39:40,244 | INFO | agent  | Sensor update: temperature=23.09
2026-05-09 10:39:40,244 | INFO | agent  | Sensor update: humidity=39.1
2026-05-09 10:39:40,245 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:40,245 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:40,245 | INFO | agent  | Sensor update: light=517.6
2026-05-09 10:39:41,751 | INFO | agent  | Sensor update: temperature=23.28
2026-05-09 10:39:41,752 | INFO | agent  | Sensor update: humidity=38.6
2026-05-09 10:39:41,752 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:41,753 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:41,753 | INFO | agent  | Sensor update: light=514.1
2026-05-09 10:39:43,258 | INFO | agent  | Sensor update: temperature=23.07
2026-05-09 10:39:43,258 | INFO | agent  | Sensor update: humidity=38.4
2026-05-09 10:39:43,259 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:43,259 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:43,259 | INFO | agent  | Sensor update: light=515.1
2026-05-09 10:39:44,765 | INFO | agent  | Sensor update: temperature=22.9
2026-05-09 10:39:44,765 | INFO | agent  | Sensor update: humidity=38.9
2026-05-09 10:39:44,765 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:44,765 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:44,766 | INFO | agent  | Sensor update: light=527.1
2026-05-09 10:39:46,272 | INFO | agent  | Sensor update: temperature=22.9
2026-05-09 10:39:46,272 | INFO | agent  | Sensor update: humidity=38.9
2026-05-09 10:39:46,272 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:46,272 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:46,272 | INFO | agent  | Sensor update: light=516.9
2026-05-09 10:39:47,776 | INFO | agent  | Sensor update: temperature=22.82
2026-05-09 10:39:47,776 | INFO | agent  | Sensor update: humidity=39.1
2026-05-09 10:39:47,776 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:47,776 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:47,776 | INFO | agent  | Sensor update: light=521.9
2026-05-09 10:39:49,282 | INFO | agent  | Sensor update: temperature=22.76
2026-05-09 10:39:49,282 | INFO | agent  | Sensor update: humidity=39.1
2026-05-09 10:39:49,282 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:49,282 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:49,282 | INFO | agent  | Sensor update: light=511.5
2026-05-09 10:39:50,784 | INFO | agent  | Sensor update: temperature=22.86
2026-05-09 10:39:50,784 | INFO | agent  | Sensor update: humidity=39.7
2026-05-09 10:39:50,784 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:50,784 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:50,784 | INFO | agent  | Sensor update: light=510.2
2026-05-09 10:39:52,289 | INFO | agent  | Sensor update: temperature=22.88
2026-05-09 10:39:52,289 | INFO | agent  | Sensor update: humidity=39.4
2026-05-09 10:39:52,289 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:52,289 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:52,289 | INFO | agent  | Sensor update: light=504.6
2026-05-09 10:39:53,790 | INFO | agent  | Sensor update: temperature=23.07
2026-05-09 10:39:53,791 | INFO | agent  | Sensor update: humidity=39.7
2026-05-09 10:39:53,791 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:53,791 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:53,791 | INFO | agent  | Sensor update: light=498.4
2026-05-09 10:39:55,294 | INFO | agent  | Sensor update: temperature=22.96
2026-05-09 10:39:55,294 | INFO | agent  | Sensor update: humidity=39.4
2026-05-09 10:39:55,294 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:55,295 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:39:55,295 | INFO | agent  | Sensor update: light=493.7
