2026-05-09 10:39:05,100 | INFO | device | Device executor started (offline_rate=0.00).
2026-05-09 10:39:05,102 | INFO | device | Connected to MQTT broker.
2026-05-09 10:40:24,859 | INFO | device | Device alarm state changed: off -> on
2026-05-09 10:40:25,666 | INFO | device | Device light state changed: off -> on
2026-05-09 10:40:30,494 | INFO | device | Device alarm state changed: on -> off
2026-05-09 10:42:16,114 | INFO | device | Device light state changed: on -> off
2026-05-09 10:44:05,982 | INFO | device | Device alarm state changed: off -> on
2026-05-09 10:44:06,795 | INFO | device | Device light state changed: off -> on
2026-05-09 10:44:09,221 | INFO | device | Device alarm state changed: on -> off
2026-05-09 10:45:04,743 | INFO | device | Device light state changed: on -> off
2026-05-09 10:47:02,111 | INFO | device | Device alarm state changed: off -> on
2026-05-09 10:47:02,918 | INFO | device | Device light state changed: off -> on
2026-05-09 10:47:05,330 | INFO | device | Device alarm state changed: on -> off
2026-05-09 10:48:16,091 | INFO | device | Device light state changed: on -> off
2026-05-09 10:49:58,205 | INFO | device | Device alarm state changed: off -> on
2026-05-09 10:49:59,013 | INFO | device | Device light state changed: off -> on
2026-05-09 10:50:03,031 | INFO | device | Device alarm state changed: on -> off
2026-05-09 10:51:04,923 | INFO | device | Device light state changed: on -> off
2026-05-09 10:52:26,154 | INFO | device | Device light state changed: off -> on
2026-05-09 10:54:15,516 | INFO | device | Device light state changed: on -> off
2026-05-09 10:55:15,969 | INFO | device | Device ac state changed: on -> off
2026-05-09 10:55:16,918 | INFO | device | Device ac state changed: off -> on
2026-05-09 10:55:23,875 | INFO | device | Device ac state changed: on -> off
2026-05-09 10:55:31,111 | INFO | device | Device light state changed: off -> on
2026-05-09 10:57:04,386 | INFO | device | Device light state changed: on -> off
2026-05-09 10:58:22,395 | INFO | device | Device ac state changed: off -> on
2026-05-09 10:58:51,324 | INFO | device | Device alarm state changed: off -> on
2026-05-09 10:58:52,170 | INFO | device | Device light state changed: off -> on
2026-05-09 10:58:55,389 | INFO | device | Device alarm state changed: on -> off
2026-05-09 11:06:02,041 | INFO | device | Device executor started (offline_rate=0.00).
2026-05-09 11:06:02,043 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:19,168 | INFO | device | Connected to MQTT broker.
2026-05-09 11:07:19,171 | INFO | device | Device ac state changed: on -> off
2026-05-09 11:07:19,171 | INFO | device | Device ac unchanged (off)
